"X","taxon_name","genus","family","leaf_length","seed_width","seed_length","plant_height","leaf_width","seed_height","leaf_area","wood_density","leaf_thickness","leaf_mass_per_area","leaf_N_per_dry_mass","seed_dry_mass","leaf_P_per_dry_mass","leaf_C_per_dry_mass","huber_value","plant_diameter_breast_height","leaf_lifespan","MAT","MAP","n_cells"
1,"Acanthocarpus canaliculatus","Acanthocarpus","Asparagaceae",9,3,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9702569246292,493.319444444444,72
2,"Acanthocarpus humilis","Acanthocarpus","Asparagaceae",8,NA,4,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8096632957458,274.5,4
3,"Acanthocarpus parviflorus","Acanthocarpus","Asparagaceae",NA,NA,3.75,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Acanthocarpus preissii","Acanthocarpus","Asparagaceae",40,4.5,4.5,0.7,1.25,NA,542,NA,NA,106,16.5,32.1,1.07,462,NA,NA,NA,19.4797302484512,600.680555555556,74
5,"Acanthocarpus robustus","Acanthocarpus","Asparagaceae",20,NA,4.5,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.689265164462,296.060606060606,33
6,"Acanthocarpus rupestris","Acanthocarpus","Asparagaceae",16,2.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"Acanthocarpus verticillatus","Acanthocarpus","Asparagaceae",NA,NA,4,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0739428656442,257.785714285714,14
8,"Acer pseudoplatanus","Acer","Sapindaceae",123,NA,NA,30,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9907514842476,998.125984251968,127
9,"Acidonia microcarpa","Acidonia","Proteaceae",97.5,NA,NA,3,1,NA,120,NA,0.975,173,NA,NA,NA,NA,NA,NA,NA,15.4435665884683,960.581395348837,43
10,"Callitris acuminata","Callitris","Cupressaceae",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Callitris arenaria","Callitris","Cupressaceae",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,18.9,NA,NA,NA,NA,NA,NA,NA,NA
12,"Callitris pyramidalis","Callitris","Cupressaceae",NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,23.6,NA,NA,NA,NA,NA,NA,NA,NA
