X,taxon_name,genus,family,leaf_mass_per_area,leaf_length,leaf_width,plant_height,leaf_area,wood_density,leaf_thickness,leaf_N_per_dry_mass,seed_dry_mass,leaf_P_per_dry_mass,leaf_C_per_dry_mass,plant_diameter_breast_height,leaf_lifespan
1,Acanthocarpus canaliculatus,Acanthocarpus,Asparagaceae,NA,9,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Acanthocarpus humilis,Acanthocarpus,Asparagaceae,NA,8,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Acanthocarpus parviflorus,Acanthocarpus,Asparagaceae,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Acanthocarpus preissii,Acanthocarpus,Asparagaceae,106,40,1.25,0.7,542,NA,NA,16.5,32.1,1.07,462,NA,NA
5,Acanthocarpus robustus,Acanthocarpus,Asparagaceae,NA,20,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Acanthocarpus rupestris,Acanthocarpus,Asparagaceae,NA,16,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Acanthocarpus verticillatus,Acanthocarpus,Asparagaceae,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Acer pseudoplatanus,Acer,Sapindaceae,NA,123,150,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Acidonia microcarpa,Acidonia,Proteaceae,173,97.5,1,3,120,NA,0.975,NA,NA,NA,NA,NA,NA
10,Callitris acuminata,Callitris,Cupressaceae,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,Callitris arenaria,Callitris,Cupressaceae,NA,NA,NA,5,NA,NA,NA,NA,18.9,NA,NA,NA,NA
12,Callitris pyramidalis,Callitris,Cupressaceae,NA,NA,NA,8,NA,NA,NA,NA,23.6,NA,NA,NA,NA
13,Adenanthera abrosperma,Adenanthera,Fabaceae,NA,21.5,9.5,14,NA,NA,NA,NA,114,NA,NA,NA,NA
14,Adenanthera pavonina,Adenanthera,Fabaceae,NA,29.5,16.6,30,990,0.688,NA,22.8,242,NA,491,NA,NA
15,Adenanthos acanthophyllus,Adenanthos,Proteaceae,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Adenanthos apiculatus,Adenanthos,Proteaceae,NA,12.5,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Adenanthos argyreus,Adenanthos,Proteaceae,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Adenanthos barbiger,Adenanthos,Proteaceae,NA,47.5,8,1,NA,NA,0.485,5.2,15.2,0.2,NA,NA,NA
19,Adenanthos cacomorphus,Adenanthos,Proteaceae,NA,12.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Adenanthos cuneatus,Adenanthos,Proteaceae,NA,17.5,12.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
