"","taxon_name","genus","family","leaf_length","seed_width","seed_length","plant_height","leaf_width","seed_height","leaf_area","wood_density","leaf_thickness"
"1","Acanthocarpus canaliculatus","Acanthocarpus","Asparagaceae",9,3,NA,0.6,NA,NA,NA,NA,NA
"2","Acanthocarpus humilis","Acanthocarpus","Asparagaceae",8,NA,4,0.35,NA,NA,NA,NA,NA
"3","Acanthocarpus parviflorus","Acanthocarpus","Asparagaceae",NA,NA,3.75,0.4,NA,NA,NA,NA,NA
"4","Acanthocarpus preissii","Acanthocarpus","Asparagaceae",40,4.5,4.5,0.7,1.25,NA,542,NA,NA
"5","Acanthocarpus robustus","Acanthocarpus","Asparagaceae",20,NA,4.5,0.7,NA,NA,NA,NA,NA
"6","Acanthocarpus rupestris","Acanthocarpus","Asparagaceae",16,2.5,NA,0.5,NA,NA,NA,NA,NA
"7","Acanthocarpus verticillatus","Acanthocarpus","Asparagaceae",NA,NA,4,0.6,NA,NA,NA,NA,NA
"8","Acer pseudoplatanus","Acer","Sapindaceae",123,NA,NA,30,150,NA,NA,NA,NA
"9","Acidonia microcarpa","Acidonia","Proteaceae",97.5,NA,NA,3,1,NA,120,NA,0.975
"10","Callitris acuminata","Callitris","Cupressaceae",NA,NA,NA,3,NA,NA,NA,NA,NA
"11","Callitris arenaria","Callitris","Cupressaceae",NA,NA,NA,5,NA,NA,NA,NA,NA
"12","Callitris pyramidalis","Callitris","Cupressaceae",NA,NA,NA,8,NA,NA,NA,NA,NA
"13","Adenanthera abrosperma","Adenanthera","Fabaceae",21.5,NA,8,14,9.5,NA,NA,NA,NA
"14","Adenanthera pavonina","Adenanthera","Fabaceae",29.5,9,8.75,30,16.6,9,990,0.688,NA
"15","Adenanthos acanthophyllus","Adenanthos","Proteaceae",NA,NA,NA,5,NA,NA,NA,NA,NA
"16","Adenanthos apiculatus","Adenanthos","Proteaceae",12.5,NA,NA,0.5,NA,NA,NA,NA,NA
"17","Adenanthos argyreus","Adenanthos","Proteaceae",NA,NA,NA,1.2,NA,NA,NA,NA,NA
"18","Adenanthos barbiger","Adenanthos","Proteaceae",47.5,NA,NA,1,8,NA,NA,NA,0.485
"19","Adenanthos cacomorphus","Adenanthos","Proteaceae",12.5,NA,NA,1,NA,NA,NA,NA,NA
