"X","taxon_name","genus","family","leaf_mass_per_area","seed_dry_mass","leaf_length","leaf_width","plant_height","original_leaf_mass_per_area"
1,"Acanthocarpus canaliculatus","Acanthocarpus","Asparagaceae",NA,NA,9,NA,0.6,NA
2,"Acanthocarpus humilis","Acanthocarpus","Asparagaceae",NA,NA,8,NA,0.35,NA
4,"Acanthocarpus preissii","Acanthocarpus","Asparagaceae",106,32.1,40,1.25,0.7,106
5,"Acanthocarpus robustus","Acanthocarpus","Asparagaceae",NA,NA,20,NA,0.7,NA
6,"Acanthocarpus rupestris","Acanthocarpus","Asparagaceae",NA,NA,16,NA,0.5,NA
8,"Acer pseudoplatanus","Acer","Sapindaceae",NA,NA,123,150,30,NA
9,"Acidonia microcarpa","Acidonia","Proteaceae",173,NA,97.5,1,3,173
11,"Callitris arenaria","Callitris","Cupressaceae",NA,18.9,NA,NA,5,NA
12,"Callitris pyramidalis","Callitris","Cupressaceae",NA,23.6,NA,NA,8,NA
13,"Adenanthera abrosperma","Adenanthera","Fabaceae",NA,114,21.5,9.5,14,NA
14,"Adenanthera pavonina","Adenanthera","Fabaceae",NA,242,29.5,16.6,30,NA
16,"Adenanthos apiculatus","Adenanthos","Proteaceae",NA,NA,12.5,NA,0.5,NA
18,"Adenanthos barbiger","Adenanthos","Proteaceae",NA,15.2,47.5,8,1,NA
19,"Adenanthos cacomorphus","Adenanthos","Proteaceae",NA,NA,12.5,NA,1,NA
20,"Adenanthos cuneatus","Adenanthos","Proteaceae",NA,NA,17.5,12.5,3,NA
21,"Adenanthos x cunninghamii","Adenanthos","Proteaceae",NA,NA,27.5,NA,2,NA
23,"Adenanthos cygnorum","Adenanthos","Proteaceae",NA,NA,21.9,22.4,4,230
24,"Adenanthos detmoldii","Adenanthos","Proteaceae",NA,NA,55,3.5,4,NA
25,"Adenanthos dobagii","Adenanthos","Proteaceae",NA,NA,14,NA,1.5,NA
26,"Adenanthos dobsonii","Adenanthos","Proteaceae",NA,NA,12.5,7,1,NA
27,"Adenanthos drummondii","Adenanthos","Proteaceae",NA,NA,7.5,NA,1,NA
